Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF-25V-0805,C_0805_2012Metric,0.510000,-14.340000,270.000000,top
C2,100nF-50V-0603,C_0603_1608Metric,-2.785000,-8.400000,180.000000,top
C3,100nF-50V-0603,C_0603_1608Metric,2.850000,-14.280000,90.000000,top
C4,10uF-25V-0805,C_0805_2012Metric,-2.720000,-10.780000,0.000000,top
C5,100nF-16V-0402,C_0402_1005Metric,-11.960000,14.870000,90.000000,top
C6,10nF-50V-0402,C_0402_1005Metric,-16.350000,23.550000,0.000000,top
C7,10nF-50V-0402,C_0402_1005Metric,-16.330000,22.360000,0.000000,top
C8,100nF-16V-0402,C_0402_1005Metric,-16.320000,20.940000,0.000000,top
C9,100nF-16V-0402,C_0402_1005Metric,-16.320000,19.550000,0.000000,top
D1,BLUE_LED,D_0603_1608Metric,-9.100000,-5.387500,90.000000,top
Q5,Q_NPN_S9013,SOT-23,11.600000,15.500000,270.000000,top
Q6,Q_NPN_S9013,SOT-23,14.300000,-14.700000,90.000000,top
R1,100Ohms-±1%-1_16W-0402,R_0402_1005Metric,-20.990000,16.500000,0.000000,top
R2,100Ohms-±1%-1_16W-0402,R_0402_1005Metric,-20.890000,3.410000,0.000000,top
R3,100Ohms-±1%-1_16W-0402,R_0402_1005Metric,-20.910000,-6.590000,0.000000,top
R4,39KOhms-±1%-1_16W-0402,R_0402_1005Metric,-23.410000,3.410000,0.000000,top
R5,100Ohms-±1%-1_16W-0402,R_0402_1005Metric,21.080000,-6.410000,180.000000,top
R6,100Ohms-±1%-1_16W-0402,R_0402_1005Metric,21.100000,3.590000,180.000000,top
R7,39KOhms-±1%-1_16W-0402,R_0402_1005Metric,23.600000,-6.410000,180.000000,top
R8,100Ohms-±1%-1_16W-0402,R_0402_1005Metric,20.890000,6.430000,180.000000,top
R9,100Ohms-±1%-1_16W-0402,R_0402_1005Metric,20.910000,16.430000,180.000000,top
R10,39KOhms-±1%-1_16W-0402,R_0402_1005Metric,23.410000,6.430000,180.000000,top
R11,100Ohms-±1%-1_16W-0402,R_0402_1005Metric,-21.010000,6.500000,0.000000,top
R12,10KOhms-±1%-1_16W-0402,R_0402_1005Metric,-10.500000,14.840000,270.000000,top
R13,39KOhms-±1%-1_16W-0402,R_0402_1005Metric,-23.510000,16.500000,0.000000,top
R14,47Ohms-±1%-1_16W-0402,R_0402_1005Metric,-9.200000,-2.790000,90.000000,top
R15,1KOhms-±1%-1_16W-0402,R_0402_1005Metric,11.690000,18.000000,0.000000,top
R16,10KOhms-±1%-1_16W-0402,R_0402_1005Metric,19.200000,17.700000,0.000000,top
R17,10KOhms-±1%-1_16W-0402,R_0402_1005Metric,15.200000,-12.300000,180.000000,top
R18,1KOhms-±1%-1_16W-0402,R_0402_1005Metric,12.700000,-12.300000,0.000000,top
R19,10KOhms-±1%-1_16W-0402,R_0402_1005Metric,11.700000,1.600000,180.000000,top
SW1,SW-Tactile-4.5x4.5_7mm,SMT-SW-SPST-4.5x4.5_plain,10.650000,-5.790000,90.000000,top
U1,ESP32-WROOM-32D,ESP32-WROOM-32,0.000000,12.000000,-90.000000,top
U2,EL817S1,SMD-4_4.6x6.5x2.54P,-16.400000,-1.590000,270.000000,top
U3,EL817S1,SMD-4_4.6x6.5x2.54P,16.590000,-1.410000,90.000000,top
U4,EL817S1,SMD-4_4.6x6.5x2.54P,-16.500000,11.500000,270.000000,top
U5,EL817S1,SMD-4_4.6x6.5x2.54P,16.400000,11.430000,90.000000,top
U6,XC6206-vreg,SOT-23,-2.670000,-14.350000,90.000000,top
